X11 - Break,X12 - anger,X13 - threaten,X21 - gazeaway,X22 - walkaway ,time
0.03434751095908,0.95328786144227,0.552871040393119,0.941519111809254,2.28077895906037E-05,81
0.037094643286632,0.95551811606631,0.569537255082628,0.944442404878039,2.58097626372452E-05,81.5
0.039890639829154,0.957640722997764,0.585584642432145,0.947219586242066,2.98533542142717E-05,82
0.042723693713638,0.959660604713968,0.601019647805958,0.949857957127457,3.54803324879882E-05,82.5
0.04558249058904,0.96158250197388,0.615851601740316,0.952364453502087,4.35889160566053E-05,83
0.048456321674818,0.963410972619595,0.630092115162756,0.954745664490944,5.57110019619619E-05,83.5
0.051335165309233,0.965150392265348,0.643754574054257,0.957007849856959,7.45285928895066E-05,84
0.054209740706219,0.966804956425696,0.656853718423863,0.959156956583518,0.000104844070554,84.5
0.057071537911512,0.96837868373037,0.669405292459556,0.961198634598051,0.000155403206782,85
0.059912827950902,0.969875419948461,0.681425754594003,0.963138251678956,0.000242283290895,85.5
0.062726656977171,0.971298842603672,0.692932037919561,0.964980907589589,0.000395037643299,86
0.065506827927408,0.972652466009073,0.70394135288687,0.966731447483018,0.000667384620928,86.5
0.068247872869403,0.973939646586927,0.714471025535502,0.968394474619787,0.001154645986819,87
0.070945018912661,0.975163588369217,0.72453836566234,0.969974362438606,0.002019557317814,87.5
0.073594150363087,0.976327348599475,0.734160560379371,0.97147526601702,0.003524949781363,88
0.076191769813014,0.97743384337859,0.743354589513578,0.972901132956188,0.006064384813336,88.5
0.078734961227679,0.978485853318574,0.752137160349829,0.974255713721187,0.010170609484103,89
0.081221359020695,0.979486029191391,0.760524660433031,0.975542571465751,0.016474090769163,89.5
0.083649128846572,0.980436897587465,0.768533128659258,0.976765091368236,0.025595320486158,90
0.086016968560297,0.981340866631989,0.776178246780246,0.977926489503739,0.037993822611824,90.5
0.088324141408732,0.982200231845417,0.78347535563643,0.979029821275716,0.053840065434986,91
